country,Year,Hydro_consumption,Hydro_generation ,Hydro_diffrence
Canada,2014,382.5013788,378.68,-3.8213788
Canada,2015,382.1932566,378.37,-3.8232566
Canada,2016,385.4324253,381.58,-3.8524253
Canada,2017,394.5873848,390.64,-3.9473848
Canada,2018,385.8939616,382.02,-3.8739616
Canada,2019,379.6689263,377.98,-1.6889263
Canada,2020,384.6719359,383,-1.6719359
Chile,1990,8.941428,8.941,-0.000428
Chile,1991,13.135654,13.136,0.000346
Chile,1992,16.74015,16.74,-0.00015
Chile,1993,17.217321,17.217,-0.000321
Chile,1994,16.985472,16.985,-0.000472
Chile,1995,18.413739,18.414,0.000261
Chile,1996,16.873468,16.873,-0.000468
Chile,1997,18.943148,18.943,-0.000148
Chile,1998,15.937255,15.937,-0.000255
Chile,1999,13.577,13.577,0
Chile,2000,19.081,19.55,0.4690000000000012
Chile,2001,21.68,20.79,-0.89
Chile,2002,23.187,22.04,-1.147
Chile,2003,22.603,21.46,-1.143
Chile,2004,20.96933834,21.76,0.7906616600000014
Chile,2005,25.5755,26.22,0.6444999999999972
Chile,2006,28.21505008,28.84,0.6249499199999988
Chile,2007,22.33485911,22.9,0.5651408899999986
Chile,2008,24.26614619,23.95,-0.31614619
Chile,2009,25.17931053,25.04,-0.13931053
Chile,2010,21.75947414,21.64,-0.11947414
Chile,2011,20.51000509,20.94,0.42999491000000134
Chile,2012,20.16202386,19.98,-0.18202386
Chile,2013,19.90721056,19.68,-0.22721056
Chile,2014,23.0450776,22.81,-0.2350776
Chile,2015,23.62150692,23.4,-0.22150692
Chile,2016,19.69072697,22.81,3.1192730299999987
Chile,2017,21.32573088,20.89,-0.43573088
Chile,2018,23.36676918,22.9,-0.46676918
Chile,2019,21.44032717,20.67,-0.77032717
Chile,2020,20.65732844,20.79,0.13267155999999858
China,1990,126.7439726,126.744,2.739999999334941e-05
China,1991,124.6889516,124.689,4.839999999717293e-05
China,1992,130.6860774,130.686,-7.74E-05
China,1993,151.8461646,151.846,-0.0001646
China,1994,167.428969,167.429,3.100000000699765e-05
China,1995,190.58,190.58,0
China,1996,187.97,187.97,0
China,1997,195.98,195.98,0
China,1998,198.89,198.89,0
China,1999,196.58,196.58,0
China,2000,222.41,222.41,0
China,2001,277.43,277.43,0
China,2002,287.97,287.97,0
China,2003,283.68,283.68,0
China,2004,353.544,353.54,-0.004
China,2005,397.017,397.02,0.003
China,2006,435.786,435.79,0.004
China,2007,485.264,485.26,-0.004
China,2008,636.96,636.96,0
China,2009,615.644,615.64,-0.004
China,2010,711.38314,711.38,-0.00314
China,2011,688.045,688.04,-0.005
China,2012,862.79411,862.79,-0.00411
China,2013,909.6122734,909.61,-0.0022734
China,2014,1059.69167,1059.69,-0.00167
China,2015,1114.51541,1114.52,0.00459
China,2016,1153.2675,1153.27,0.0025
China,2017,1165.065,1165.06,-0.005
China,2018,1198.887,1198.89,0.003
China,2019,1272.538,1272.54,0.002
China,2020,1322.009109,1322.01,0.000891
Colombia,1990,27.495852,27.496,0.000148
Colombia,1991,27.72608,27.726,-8.00E-05
Colombia,1992,22.280584,22.281,0.000416
Colombia,1993,27.856392,27.856,-0.000392
Colombia,1994,32.058392,32.058,-0.000392
Colombia,1995,31.9894,31.989,-0.0004
Colombia,1996,35.28762418,35.288,0.00037582
Colombia,1997,31.47576,31.476,0.00024
Colombia,1998,30.781684,30.782,0.000316
Colombia,1999,33.700658,33.701,0.000342
Colombia,2000,30.815718,31.75,0.9342819999999996
Colombia,2001,31.632658,31.48,-0.152658
Colombia,2002,33.968038,33.63,-0.338038
Colombia,2003,36.17636,35.81,-0.36636
Colombia,2004,38.330058,39.68,1.3499419999999986
Colombia,2005,39.220888,39.4,0.17911199999999639
Colombia,2006,42.55789177,42.31,-0.24789177
Colombia,2007,44.24198163,44,-0.24198163
Colombia,2008,46.16088281,45.94,-0.22088281
Colombia,2009,40.83736603,40.64,-0.19736603
Colombia,2010,40.55746263,40,-0.55746263
Colombia,2011,48.42747813,48.39,-0.03747813
Colombia,2012,47.58170976,47.11,-0.47170976
Colombia,2013,44.36279007,49.76,5.397209929999995
Colombia,2014,44.7419634,47.39,2.6480365999999975
Colombia,2015,44.68190237,48.08,3.398097629999995
Colombia,2016,46.78792653,48.6,1.8120734700000014
Colombia,2017,57.3419,60.82,3.4780999999999977
Colombia,2018,56.64701407,59.33,2.682985930000001
Colombia,2019,54.14455518,53.99,-0.15455518
Colombia,2020,43.99338707,45.82,1.8266129300000031
Croatia,1990,3.805,3.92,0.11499999999999977
Croatia,1991,5.881,5.53,-0.351
Croatia,1992,4.349,4.35,0.001
Croatia,1993,4.55,4.55,0
Croatia,1994,5.435,5.43,-0.005
Croatia,1995,5.683,5.68,-0.003
Croatia,1996,7.863,7.86,-0.003
Croatia,1997,5.853,5.85,-0.003
Croatia,1998,6.022,6.02,-0.002
Croatia,1999,7.327,7.33,0.003
Croatia,2000,6.453,6.45,-0.003
Croatia,2001,7.181,7.18,-0.001
Croatia,2002,5.851,5.85,-0.001
Croatia,2003,5.458,5.46,0.002
Croatia,2004,7.627,7.63,0.003
Croatia,2005,7.036,7.04,0.004
Croatia,2006,6.617,6.62,0.003
Croatia,2007,4.7,4.7,0
Croatia,2008,5.781,5.78,-0.001
Croatia,2009,7.409,7.41,0.001
Croatia,2010,9.126,9.13,0.004
Croatia,2011,5.033,5.03,-0.003
Croatia,2012,4.837,4.84,0.003
Croatia,2013,8.622,8.62,-0.002
Croatia,2014,9.007,9.01,0.003
Croatia,2015,6.391,6.39,-0.001
Croatia,2016,6.853,6.85,-0.003
Croatia,2017,5.3074,5.31,0.0026
Croatia,2018,7.7009,7.7,-0.0009
Croatia,2019,5.8261,5.83,0.0039
Croatia,2020,5.667144228,5.66,-0.007144228
Cyprus,1990,0,0,0
Cyprus,1991,0,0,0
Cyprus,1992,0,0,0
Cyprus,1993,0,0,0
Cyprus,1994,0,0,0
Cyprus,1995,0,0,0
Cyprus,1996,0,0,0
Cyprus,1997,0,0,0
Cyprus,1998,0,0,0
Cyprus,1999,0,0,0
Cyprus,2000,0,0,0
Cyprus,2001,0,0,0
Cyprus,2002,0,0,0
Cyprus,2003,0,0,0
Cyprus,2004,0,0,0
Cyprus,2005,0,0,0
Cyprus,2006,0,0,0
Cyprus,2007,0,0,0
Cyprus,2008,0,0,0
Cyprus,2009,0,0,0
Cyprus,2010,0,0,0
Cyprus,2011,0,0,0
Cyprus,2012,0,0,0
Cyprus,2013,0,0,0
Cyprus,2014,0,0,0
Cyprus,2015,0,0,0
Cyprus,2016,0,0,0
Cyprus,2017,0,0,0
Cyprus,2018,0,0,0
Cyprus,2019,0,0,0
Cyprus,2020,0,0,0
Czechia,1990,1.161,1.16,-0.001
Czechia,1991,1.089,1.09,0.001
Czechia,1992,1.402,1.4,-0.002
Czechia,1993,1.369,1.37,0.001
Czechia,1994,1.46,1.46,0
Czechia,1995,2.002,2,-0.002
Czechia,1996,1.969,1.97,0.001
Czechia,1997,1.699,1.7,0.001
Czechia,1998,1.396,1.4,0.004
Czechia,1999,1.681,1.68,-0.001
Czechia,2000,1.758,1.76,0.002
Czechia,2001,2.054,2.05,-0.004
Czechia,2002,2.492,2.49,-0.002
Czechia,2003,1.383,1.38,-0.003
Czechia,2004,2.0191,2.02,0.0009
Czechia,2005,2.37991,2.38,8.999999999970143e-05
Czechia,2006,2.55073,2.55,-0.00073
Czechia,2007,2.079338,2.09,0.010662
Czechia,2008,2.024335,2.02,-0.004335
Czechia,2009,2.42962,2.43,0.00038
Czechia,2010,2.7894,2.79,0.0006
Czechia,2011,2.1341,1.96,-0.1741
Czechia,2012,2.2315,2.13,-0.1015
Czechia,2013,2.8564,2.73,-0.1264
Czechia,2014,1.9092,1.91,0.0008
Czechia,2015,1.7948,1.79,-0.0048
Czechia,2016,2.0005,2,-0.0005
Czechia,2017,1.8695,1.87,0.0005
Czechia,2018,1.6274,1.63,0.0026
Czechia,2019,2.008,2.01,0.002
Czechia,2020,2.1423,2.14,-0.0023
Denmark,1990,0.028,0.03,0.002
Denmark,1991,0.0254,0.03,0.0046
Denmark,1992,0.0277,0.03,0.0023
Denmark,1993,0.0275,0.03,0.0025
Denmark,1994,0.0326,0.03,-0.0026
Denmark,1995,0.0303,0.03,-0.0003
Denmark,1996,0.0193,0.02,0.0007
Denmark,1997,0.0192,0.02,0.0008
Denmark,1998,0.0273,0.03,0.0027
Denmark,1999,0.0305,0.03,-0.0005
Denmark,2000,0.0302,0.03,-0.0002
Denmark,2001,0.0276,0.03,0.0024
Denmark,2002,0.0318,0.03,-0.0018
Denmark,2003,0.0212,0.02,-0.0012
Denmark,2004,0.0265,0.03,0.0035
Denmark,2005,0.0225,0.02,-0.0025
Denmark,2006,0.0234,0.02,-0.0034
Denmark,2007,0.0282,0.03,0.0018
